Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
György Sándor Ligeti,Austrian,Male,1923,2006,8,"{""Prints & Illustrated Books"": 8}"
Yoriaki Matsudaira,Japanese,Male,1931,-1,13,"{""Prints & Illustrated Books"": 13}"
Pierre Mercure,Canadian,Male,1927,1966,4,"{""Prints & Illustrated Books"": 4}"
Heinz-Klaus Metzger,German,Male,1932,2009,1,"{""Prints & Illustrated Books"": 1}"
Gabriel de Rumine,Swiss,Male,1841,1871,1,"{""Photography"": 1}"
Pierre Trémaux,French,Male,1818,1895,1,"{""Photography"": 1}"
Tomas Schmit,German,Male,1943,2006,10,"{""Prints & Illustrated Books"": 10}"
Dieter Schnebel,German,Male,1930,-1,2,"{""Prints & Illustrated Books"": 2}"
Karlheinz Stockhausen,German,Male,1938,2007,1,"{""Prints & Illustrated Books"": 1}"
James Tenney,American,Male,1934,2006,1,"{""Prints & Illustrated Books"": 1}"
Yasunao Tone,Japanese,Male,1935,-1,3,"{""Prints & Illustrated Books"": 3}"
Michael Von Biel,German,Male,1937,-1,1,"{""Prints & Illustrated Books"": 1}"
George Yuasa,Japanese,Male,1929,-1,1,"{""Prints & Illustrated Books"": 1}"
Jerzy Flisak,Polish,Male,1930,2008,1,"{""Architecture & Design"": 1}"
Jutta Koether,German,Female,1958,-1,1,"{""Painting & Sculpture"": 1}"
Walead Beshty,American,Male,1976,-1,1,"{""Photography"": 1}"
Daniel Gordon,American,Male,1980,-1,2,"{""Photography"": 2}"
Carter Mull,American,Male,1977,-1,2,"{""Photography"": 2}"
Kathy Acker,American,Female,1947,1997,1,"{""Drawings"": 1}"
Genpei Akasegawa,Japanese,Male,1937,2014,3,"{""Prints & Illustrated Books"": 3}"
Alice Hutchins,American,Female,1916,2009,3,"{""Prints & Illustrated Books"": 3}"
Carla Liss,American,Female,1944,2012,4,"{""Prints & Illustrated Books"": 4}"
Larry Miller,American,Male,1944,-1,6,"{""Prints & Illustrated Books"": 6}"
Peter Moore,American,Male,1932,1993,1,"{""Prints & Illustrated Books"": 1}"
Jock Reynolds,American,Male,1947,-1,6,"{""Prints & Illustrated Books"": 6}"
Yoshi Wada,Japanese,Male,1943,-1,2,"{""Prints & Illustrated Books"": 2}"
Roman Polanski,Polish,Male,1933,-1,1,"{""Film"": 1}"
Ivan Passer,Czech,Male,1933,-1,1,"{""Film"": 1}"
Salvo (Salvatore Mangione),Italian,Male,1947,2015,4,"{""Prints & Illustrated Books"": 4}"
Costa Gavras,Greek,Male,1933,-1,1,"{""Film"": 1}"
Sarah Watt,Australian,Female,1958,2011,1,"{""Film"": 1}"
Shohei Imamura,Japanese,Male,1926,-1,1,"{""Film"": 1}"
Mohammad Rasoulof,Iranian,Male,1972,-1,2,"{""Film"": 2}"
Kelly Reichardt,American,Female,1964,-1,3,"{""Film"": 3}"
Andrei Zvyagintsev,Russian,Male,1964,-1,1,"{""Film"": 1}"
Mike Leigh,British,Male,1943,-1,1,"{""Film"": 1}"
Darren Aronofsky,American,Male,1969,-1,3,"{""Film"": 3}"
Peter Hutton,American,Male,1944,2016,3,"{""Film"": 3}"
Antonio Campos,American,Male,1983,-1,1,"{""Film"": 1}"
